
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step 26700 | Loss: 0.5111 Acc: 91.55%
Step 26800 | Loss: 0.5092 Acc: 92.11%
Step 26900 | Loss: 0.5290 Acc: 90.85%
Step 27000 | Loss: 0.4871 Acc: 93.59%
Step 27100 | Loss: 0.5391 Acc: 90.37%
Step 27200 | Loss: 0.5117 Acc: 92.62%
Step 27300 | Loss: 0.5468 Acc: 90.46%
Step 27400 | Loss: 0.4627 Acc: 94.50%
Step 27500 | Loss: 0.5385 Acc: 90.89%
Step 27600 | Loss: 0.5121 Acc: 91.30%
Step 27700 | Loss: 0.5190 Acc: 91.99%
Step 27800 | Loss: 0.5264 Acc: 92.23%
Step 27900 | Loss: 0.5153 Acc: 91.91%
Step 28000 | Loss: 0.5608 Acc: 90.24%
Step 28100 | Loss: 0.5366 Acc: 91.98%
Step 28200 | Loss: 0.5208 Acc: 91.35%
Step 28300 | Loss: 0.5236 Acc: 91.73%
Step 28400 | Loss: 0.4914 Acc: 92.58%
Step 28500 | Loss: 0.5264 Acc: 91.76%
Step 28600 | Loss: 0.5115 Acc: 92.39%
Step 28700 | Loss: 0.5896 Acc: 89.17%
Step 28800 | Loss: 0.5199 Acc: 90.92%
Step 28900 | Loss: 0.5948 Acc: 89.47%
Step 29000 | Loss: 0.5086 Acc: 92.56%
Step 29100 | Loss: 0.4945 Acc: 93.07%
Step 29200 | Loss: 0.5171 Acc: 91.51%
Step 29300 | Loss: 0.5233 Acc: 91.72%
Step 29400 | Loss: 0.4981 Acc: 91.96%
Step 29500 | Loss: 0.5284 Acc: 91.58%
Step 29600 | Loss: 0.5359 Acc: 91.05%
Step 29700 | Loss: 0.5141 Acc: 91.82%
Step 29800 | Loss: 0.5061 Acc: 92.70%
Step 29900 | Loss: 0.5460 Acc: 90.43%
Step 30000 | Loss: 0.4827 Acc: 93.58% | 0.0: 476/500 | 1.x: 370/500 | 2.x: 288/500 | 3.x: 227/500 | 4.x+: 180/500 | Total: 1541/2500
Step 30100 | Loss: 0.5529 Acc: 89.71%
Step 30200 | Loss: 0.5221 Acc: 91.27%
Step 30300 | Loss: 0.4931 Acc: 93.09%
Step 30400 | Loss: 0.5173 Acc: 91.71%
Step 30500 | Loss: 0.5114 Acc: 92.39%
Step 30600 | Loss: 0.5033 Acc: 92.64%
Step 30700 | Loss: 0.5482 Acc: 89.78%
Step 30800 | Loss: 0.5310 Acc: 90.95%
Step 30900 | Loss: 0.5166 Acc: 91.45%
Step 31000 | Loss: 0.5505 Acc: 91.04%
Step 31100 | Loss: 0.5189 Acc: 92.04%
Step 31200 | Loss: 0.6113 Acc: 87.68%
Step 31300 | Loss: 0.5013 Acc: 91.79%
Step 31400 | Loss: 0.5007 Acc: 91.52%
Step 31500 | Loss: 0.4897 Acc: 92.31%
Step 31600 | Loss: 0.5220 Acc: 91.35%
Step 31700 | Loss: 0.5332 Acc: 90.54%
Step 31800 | Loss: 0.5013 Acc: 91.91%
Step 31900 | Loss: 0.4955 Acc: 92.18%
Step 32000 | Loss: 0.4734 Acc: 92.97%
Step 32100 | Loss: 0.4857 Acc: 93.00%
Step 32200 | Loss: 0.4944 Acc: 92.50%
Step 32300 | Loss: 0.4723 Acc: 94.13%
Step 32400 | Loss: 0.5360 Acc: 91.81%
Step 32500 | Loss: 0.4858 Acc: 93.77%
Step 32600 | Loss: 0.4954 Acc: 93.48%
Step 32700 | Loss: 0.5350 Acc: 91.69%
Step 32800 | Loss: 0.4579 Acc: 93.52%
Step 32900 | Loss: 0.5311 Acc: 90.70%
Step 33000 | Loss: 0.4916 Acc: 93.16%
Step 33100 | Loss: 0.5207 Acc: 91.61%
Step 33200 | Loss: 0.4676 Acc: 93.12%
Step 33300 | Loss: 0.4876 Acc: 93.10%
Step 33400 | Loss: 0.4954 Acc: 91.95%
Step 33500 | Loss: 0.4683 Acc: 93.70%
Step 33600 | Loss: 0.5280 Acc: 90.79%
Step 33700 | Loss: 0.4759 Acc: 93.94%
Step 33800 | Loss: 0.5091 Acc: 91.79%
Step 33900 | Loss: 0.5301 Acc: 91.22%
Step 34000 | Loss: 0.5246 Acc: 91.35%
Step 34100 | Loss: 0.4601 Acc: 93.48%
Step 34200 | Loss: 0.4862 Acc: 93.09%
Step 34300 | Loss: 0.5574 Acc: 91.05%
Step 34400 | Loss: 0.4631 Acc: 94.23%
Step 34500 | Loss: 0.4997 Acc: 92.32%
Step 34600 | Loss: 0.5078 Acc: 92.01%
Step 34700 | Loss: 0.4595 Acc: 93.77%
Step 34800 | Loss: 0.4687 Acc: 93.11%
Step 34900 | Loss: 0.4933 Acc: 92.27%
Step 35000 | Loss: 0.4783 Acc: 93.81% | 0.0: 480/500 | 1.x: 361/500 | 2.x: 264/500 | 3.x: 196/500 | 4.x+: 130/500 | Total: 1431/2500
Step 35100 | Loss: 0.5171 Acc: 92.39%
Step 35200 | Loss: 0.4594 Acc: 94.05%
