
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step 31700 | Loss: 0.7450 Acc: 75.78%
Step 31800 | Loss: 0.7347 Acc: 77.11%
Step 31900 | Loss: 0.7479 Acc: 76.20%
Step 32000 | Loss: 0.7593 Acc: 75.94%
Step 32100 | Loss: 0.7542 Acc: 76.22%
Step 32200 | Loss: 0.7468 Acc: 76.47%
Step 32300 | Loss: 0.7302 Acc: 76.97%
Step 32400 | Loss: 0.7287 Acc: 77.40%
Step 32500 | Loss: 0.7490 Acc: 76.36%
Step 32600 | Loss: 0.7516 Acc: 75.07%
Step 32700 | Loss: 0.7619 Acc: 76.63%
Step 32800 | Loss: 0.7327 Acc: 77.49%
Step 32900 | Loss: 0.7563 Acc: 76.07%
Step 33000 | Loss: 0.7561 Acc: 74.90%
Step 33100 | Loss: 0.7309 Acc: 77.15%
Step 33200 | Loss: 0.7676 Acc: 74.73%
Step 33300 | Loss: 0.7466 Acc: 76.82%
Step 33400 | Loss: 0.7670 Acc: 74.44%
Step 33500 | Loss: 0.7279 Acc: 78.10%
Step 33600 | Loss: 0.7763 Acc: 75.30%
Step 33700 | Loss: 0.7223 Acc: 77.23%
Step 33800 | Loss: 0.7443 Acc: 76.18%
Step 33900 | Loss: 0.7515 Acc: 75.45%
Step 34000 | Loss: 0.7532 Acc: 75.71%
Step 34100 | Loss: 0.7588 Acc: 75.99%
Step 34200 | Loss: 0.7296 Acc: 77.59%
Step 34300 | Loss: 0.7361 Acc: 76.91%
Step 34400 | Loss: 0.7711 Acc: 75.31%
Step 34500 | Loss: 0.7857 Acc: 73.47%
Step 34600 | Loss: 0.7227 Acc: 77.64%
Step 34700 | Loss: 0.7260 Acc: 77.82%
Step 34800 | Loss: 0.7407 Acc: 76.26%
Step 34900 | Loss: 0.7181 Acc: 77.60%
Step 35000 | Loss: 0.6859 Acc: 80.05% | 0: 4855/5000 | 1-2: 3810/5000 | 3-10: 2511/5000 | 11-50: 2723/5000 | 51+: 3132/5000 | Total: 17031/25000 (68.1%)
Step 35100 | Loss: 0.7414 Acc: 77.56%
Step 35200 | Loss: 0.7786 Acc: 74.37%
Step 35300 | Loss: 0.7186 Acc: 76.90%
Step 35400 | Loss: 0.7389 Acc: 76.88%
Step 35500 | Loss: 0.7429 Acc: 76.69%
Step 35600 | Loss: 0.7340 Acc: 76.69%
Step 35700 | Loss: 0.7473 Acc: 75.42%
Step 35800 | Loss: 0.7174 Acc: 78.49%
Step 35900 | Loss: 0.7239 Acc: 77.79%
Step 36000 | Loss: 0.7554 Acc: 76.52%
Step 36100 | Loss: 0.7523 Acc: 75.42%
Step 36200 | Loss: 0.7549 Acc: 76.25%
Step 36300 | Loss: 0.7523 Acc: 76.27%
Step 36400 | Loss: 0.6845 Acc: 80.49%
Step 36500 | Loss: 0.7068 Acc: 78.37%
Step 36600 | Loss: 0.7415 Acc: 76.34%
Step 36700 | Loss: 0.7407 Acc: 77.18%
Step 36800 | Loss: 0.7394 Acc: 77.15%
Step 36900 | Loss: 0.6894 Acc: 78.74%
Step 37000 | Loss: 0.7535 Acc: 76.18%
Step 37100 | Loss: 0.7604 Acc: 75.51%
Step 37200 | Loss: 0.7411 Acc: 76.32%
Step 37300 | Loss: 0.7514 Acc: 76.18%
Step 37400 | Loss: 0.7481 Acc: 76.38%
Step 37500 | Loss: 0.7713 Acc: 75.14%
Step 37600 | Loss: 0.7442 Acc: 76.76%
Step 37700 | Loss: 0.7418 Acc: 76.31%
Step 37800 | Loss: 0.7603 Acc: 74.97%
Step 37900 | Loss: 0.7354 Acc: 77.65%
