
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 33600 | Loss: 0.6217 Acc: 84.64%
Step 33700 | Loss: 0.6299 Acc: 84.99%
Step 33800 | Loss: 0.6175 Acc: 85.75%
Step 33900 | Loss: 0.6193 Acc: 84.50%
Step 34000 | Loss: 0.6222 Acc: 85.59%
Step 34100 | Loss: 0.6346 Acc: 84.36%
Step 34200 | Loss: 0.6380 Acc: 84.86%
Step 34300 | Loss: 0.6242 Acc: 85.08%
Step 34400 | Loss: 0.6308 Acc: 84.69%
Step 34500 | Loss: 0.6328 Acc: 84.56%
Step 34600 | Loss: 0.6398 Acc: 83.90%
Step 34700 | Loss: 0.6226 Acc: 85.11%
Step 34800 | Loss: 0.6142 Acc: 86.66%
Step 34900 | Loss: 0.6499 Acc: 83.82%
Step 35000 | Loss: 0.6030 Acc: 86.55% | 0.0: 491/500 | 1.x: 415/500 | 2.x: 373/500 | 3.x: 324/500 | 4.x+: 288/500 | Total: 1891/2500
Step 35100 | Loss: 0.6242 Acc: 84.69%
Step 35200 | Loss: 0.6271 Acc: 85.11%
Step 35300 | Loss: 0.5921 Acc: 87.04%
Step 35400 | Loss: 0.6051 Acc: 86.45%
Step 35500 | Loss: 0.6175 Acc: 85.02%
Step 35600 | Loss: 0.5964 Acc: 87.09%
Step 35700 | Loss: 0.6327 Acc: 84.78%
Step 35800 | Loss: 0.6088 Acc: 86.03%
Step 35900 | Loss: 0.6030 Acc: 86.13%
Step 36000 | Loss: 0.6291 Acc: 85.02%
Step 36100 | Loss: 0.6172 Acc: 84.74%
Step 36200 | Loss: 0.6096 Acc: 85.93%
Step 36300 | Loss: 0.6204 Acc: 85.54%
Step 36400 | Loss: 0.6276 Acc: 85.21%
Step 36500 | Loss: 0.6223 Acc: 84.85%
Step 36600 | Loss: 0.6340 Acc: 84.74%
Step 36700 | Loss: 0.6150 Acc: 85.81%
Step 36800 | Loss: 0.6087 Acc: 85.33%
Step 36900 | Loss: 0.6249 Acc: 85.29%
Step 37000 | Loss: 0.6101 Acc: 85.56%
Step 37100 | Loss: 0.6159 Acc: 84.96%
Step 37200 | Loss: 0.6230 Acc: 85.09%
Step 37300 | Loss: 0.6169 Acc: 85.25%
Step 37400 | Loss: 0.6125 Acc: 85.29%
Step 37500 | Loss: 0.6094 Acc: 85.74%
Step 37600 | Loss: 0.6448 Acc: 84.37%
Step 37700 | Loss: 0.6021 Acc: 86.44%
Step 37800 | Loss: 0.6310 Acc: 84.11%
Step 37900 | Loss: 0.6319 Acc: 83.88%
Step 38000 | Loss: 0.6284 Acc: 84.97%
Step 38100 | Loss: 0.5990 Acc: 86.42%
Step 38200 | Loss: 0.6348 Acc: 84.43%
Step 38300 | Loss: 0.6314 Acc: 84.26%
Step 38400 | Loss: 0.5924 Acc: 87.08%
Step 38500 | Loss: 0.6354 Acc: 84.66%
Step 38600 | Loss: 0.6246 Acc: 83.96%
Step 38700 | Loss: 0.6099 Acc: 85.65%
Step 38800 | Loss: 0.5991 Acc: 86.70%
Step 38900 | Loss: 0.5997 Acc: 86.02%
Step 39000 | Loss: 0.5867 Acc: 88.09%
Step 39100 | Loss: 0.6111 Acc: 85.85%
Step 39200 | Loss: 0.6224 Acc: 85.03%
Step 39300 | Loss: 0.6336 Acc: 84.61%
Step 39400 | Loss: 0.6073 Acc: 86.24%
Step 39500 | Loss: 0.6086 Acc: 86.37%
Step 39600 | Loss: 0.5911 Acc: 87.48%
Step 39700 | Loss: 0.6019 Acc: 85.73%
Step 39800 | Loss: 0.6308 Acc: 84.40%
Step 39900 | Loss: 0.6177 Acc: 84.96%

============================================================
Step 40000: Entering Phase 3: Medium+ (1.0+)
Training pool: 1703919 puzzles
============================================================

Step 40000 | Loss: 0.5716 Acc: 88.15% | 0.0: 494/500 | 1.x: 430/500 | 2.x: 387/500 | 3.x: 343/500 | 4.x+: 280/500 | Total: 1934/2500
Step 40100 | Loss: 0.5228 Acc: 90.94%
