
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 33400 | Loss: 0.6763 Acc: 82.31%
Step 33500 | Loss: 0.6460 Acc: 83.82%
Step 33600 | Loss: 0.6447 Acc: 84.12%
Step 33700 | Loss: 0.6825 Acc: 81.82%
Step 33800 | Loss: 0.6911 Acc: 82.41%
Step 33900 | Loss: 0.6571 Acc: 82.74%
Step 34000 | Loss: 0.6725 Acc: 82.14%
Step 34100 | Loss: 0.6682 Acc: 82.52%
Step 34200 | Loss: 0.6962 Acc: 81.25%
Step 34300 | Loss: 0.6345 Acc: 85.64%
Step 34400 | Loss: 0.6482 Acc: 84.09%
Step 34500 | Loss: 0.6268 Acc: 84.88%
Step 34600 | Loss: 0.6646 Acc: 83.53%
Step 34700 | Loss: 0.6589 Acc: 84.18%
Step 34800 | Loss: 0.6493 Acc: 83.99%
Step 34900 | Loss: 0.6334 Acc: 84.40%
Step 35000 | Loss: 0.6970 Acc: 81.57% | 0.0: 494/500 | 1.x: 438/500 | 2.x: 365/500 | 3.x: 323/500 | 4.x+: 294/500 | Total: 1914/2500
Step 35100 | Loss: 0.6597 Acc: 82.65%
Step 35200 | Loss: 0.6196 Acc: 85.35%
Step 35300 | Loss: 0.5920 Acc: 86.31%
Step 35400 | Loss: 0.6844 Acc: 81.75%
Step 35500 | Loss: 0.6401 Acc: 83.85%
Step 35600 | Loss: 0.6332 Acc: 85.33%
Step 35700 | Loss: 0.6586 Acc: 83.51%
Step 35800 | Loss: 0.6478 Acc: 84.64%
Step 35900 | Loss: 0.6503 Acc: 83.66%
Step 36000 | Loss: 0.6520 Acc: 83.37%
Step 36100 | Loss: 0.6681 Acc: 83.04%
Step 36200 | Loss: 0.6393 Acc: 84.77%
Step 36300 | Loss: 0.6841 Acc: 82.05%
Step 36400 | Loss: 0.6629 Acc: 83.55%
Step 36500 | Loss: 0.6906 Acc: 81.97%
Step 36600 | Loss: 0.6399 Acc: 83.30%
Step 36700 | Loss: 0.6495 Acc: 83.57%
Step 36800 | Loss: 0.6229 Acc: 84.55%
Step 36900 | Loss: 0.6166 Acc: 85.36%
Step 37000 | Loss: 0.6636 Acc: 81.92%
Step 37100 | Loss: 0.6549 Acc: 82.75%
Step 37200 | Loss: 0.6815 Acc: 81.78%
Step 37300 | Loss: 0.6534 Acc: 82.86%
Step 37400 | Loss: 0.6250 Acc: 84.20%
Step 37500 | Loss: 0.6359 Acc: 83.84%
Step 37600 | Loss: 0.6738 Acc: 82.87%
Step 37700 | Loss: 0.6788 Acc: 82.12%
Step 37800 | Loss: 0.6608 Acc: 82.83%
Step 37900 | Loss: 0.6556 Acc: 83.25%
Step 38000 | Loss: 0.6671 Acc: 82.50%
Step 38100 | Loss: 0.6402 Acc: 84.42%
Step 38200 | Loss: 0.6157 Acc: 86.39%
Step 38300 | Loss: 0.6392 Acc: 84.34%
Step 38400 | Loss: 0.6645 Acc: 83.00%
Step 38500 | Loss: 0.6290 Acc: 84.94%
Step 38600 | Loss: 0.6847 Acc: 81.93%
Step 38700 | Loss: 0.6818 Acc: 82.58%
Step 38800 | Loss: 0.6553 Acc: 83.24%
Step 38900 | Loss: 0.6435 Acc: 83.60%
Step 39000 | Loss: 0.6126 Acc: 85.60%
Step 39100 | Loss: 0.6998 Acc: 81.17%
Step 39200 | Loss: 0.6465 Acc: 82.47%
Step 39300 | Loss: 0.6408 Acc: 83.41%
Step 39400 | Loss: 0.6728 Acc: 81.33%
Step 39500 | Loss: 0.6193 Acc: 85.60%
Step 39600 | Loss: 0.6614 Acc: 83.43%
Step 39700 | Loss: 0.6918 Acc: 81.26%
Step 39800 | Loss: 0.6366 Acc: 84.10%
Step 39900 | Loss: 0.6254 Acc: 85.05%

============================================================
Step 40000: Entering Phase 3: Medium+ (1.0+)
Training pool: 1703919 puzzles
============================================================

Step 40000 | Loss: 0.5723 Acc: 86.78% | 0.0: 482/500 | 1.x: 413/500 | 2.x: 364/500 | 3.x: 324/500 | 4.x+: 283/500 | Total: 1866/2500
Step 40100 | Loss: 0.6249 Acc: 84.54%
Step 40200 | Loss: 0.5131 Acc: 90.26%
Step 40300 | Loss: 0.5820 Acc: 87.17%
Step 40400 | Loss: 0.5684 Acc: 87.85%
Step 40500 | Loss: 0.5908 Acc: 87.27%
Step 40600 | Loss: 0.5812 Acc: 86.34%
Step 40700 | Loss: 0.5436 Acc: 87.90%
Step 40800 | Loss: 0.5208 Acc: 89.77%
Step 40900 | Loss: 0.5805 Acc: 86.39%
Step 41000 | Loss: 0.6185 Acc: 85.18%
Step 41100 | Loss: 0.5517 Acc: 87.98%
Step 41200 | Loss: 0.5770 Acc: 87.19%
Step 41300 | Loss: 0.5688 Acc: 86.45%
Step 41400 | Loss: 0.5815 Acc: 86.04%
